humidity,temperature,age,quantity,producttype_Extruder,producttype_Gauge Machine,producttype_Pressure Cutter,producttype_Pump,failure_risk_score,predicted_failure,environmental_risk_score,final_risk_score,maintenance_priority,esg_impact_score,esg_impact_level
59.52,38.72,9,54611,0.0,0.0,1.0,0.0,0.585,1,0.8653273096335358,0.6971309238534142,Medium,0.7531963857801214,High ESG Impact
79.02,62.96,8,31495,1.0,0.0,0.0,0.0,0.195,0,0.5263199680326406,0.3275279872130562,Low,0.39379198081958433,Low ESG Impact
32.72,56.34,4,44849,1.0,0.0,0.0,0.0,0.165,0,0.6242782181978033,0.3487112872791213,Low,0.44056693091868193,Medium ESG Impact
41.31,45.05,3,36675,1.0,0.0,0.0,0.0,0.275,0,0.538029378857572,0.3802117515430288,Low,0.4328176273145432,Medium ESG Impact
12.19,39.02,14,77086,0.0,1.0,0.0,0.0,0.41,1,0.7315828254095393,0.5386331301638158,Medium,0.6029496952457236,Medium ESG Impact
21.14,43.03,2,79539,0.0,0.0,1.0,0.0,0.175,0,0.4902725091396943,0.3011090036558777,Low,0.36416350548381654,Low ESG Impact
67.13,87.62,2,53322,0.0,1.0,0.0,0.0,0.36,1,0.7209887601663736,0.5043955040665494,Medium,0.5765932560998241,Medium ESG Impact
86.11,47.64,4,77688,1.0,0.0,0.0,0.0,0.24,0,0.6479716068063877,0.403188642722555,Medium,0.4847829640838326,Medium ESG Impact
37.74,63.74,3,23819,1.0,0.0,0.0,0.0,0.28,0,0.7975949820845121,0.4870379928338049,Medium,0.5905569892507072,Medium ESG Impact
71.45,55.5,6,74466,0.0,0.0,0.0,1.0,0.32,1,0.7329653794138274,0.485186151765531,Medium,0.5677792276482965,Medium ESG Impact
57.92,51.7,8,25556,1.0,0.0,0.0,0.0,0.275,0,0.8067952727899492,0.4877181091159797,Medium,0.5940771636739696,Medium ESG Impact
17.09,76.28,5,79412,0.0,0.0,0.0,0.0,0.355,1,0.448657813778452,0.3924631255113808,Low,0.4111946882670712,Medium ESG Impact
40.5,57.51,16,23624,0.0,0.0,1.0,0.0,0.22,0,0.6661984831950895,0.3984793932780358,Low,0.4877190899170537,Medium ESG Impact
28.25,73.85,12,41985,0.0,0.0,0.0,0.0,0.105,0,0.4298283604543528,0.2349313441817411,Low,0.29989701627261167,Low ESG Impact
80.93,70.29,16,41750,0.0,0.0,1.0,0.0,0.46,1,0.8070919120741247,0.59883676482965,Medium,0.6682551472444748,Medium ESG Impact
