humidity,temperature,age,quantity,producttype_Extruder,producttype_Gauge Machine,producttype_Pressure Cutter,producttype_Pump,failure_risk_score,predicted_failure,environmental_risk_score,final_risk_score,maintenance_priority,maintenance_priority_weight,esg_impact_score,esg_risk_level
59.52,38.72,9,54611,0.0,0.0,1.0,0.0,0.585,1,0.8653273096335358,0.6971309238534142,Medium,0.5,0.7081636548167679,High ESG Risk
79.02,62.96,8,31495,1.0,0.0,0.0,0.0,0.195,0,0.5263199680326406,0.3275279872130562,Low,0.2,0.36165998401632027,Low ESG Risk
32.72,56.34,4,44849,1.0,0.0,0.0,0.0,0.165,0,0.6242782181978033,0.3487112872791213,Low,0.2,0.40163910909890166,Medium ESG Risk
41.31,45.05,3,36675,1.0,0.0,0.0,0.0,0.275,0,0.538029378857572,0.3802117515430288,Low,0.2,0.391514689428786,Low ESG Risk
12.19,39.02,14,77086,0.0,1.0,0.0,0.0,0.41,1,0.7315828254095393,0.5386331301638158,Medium,0.5,0.5887914127047696,Medium ESG Risk
21.14,43.03,2,79539,0.0,0.0,1.0,0.0,0.175,0,0.4902725091396943,0.3011090036558777,Low,0.2,0.33763625456984714,Low ESG Risk
67.13,87.62,2,53322,0.0,1.0,0.0,0.0,0.36,1,0.7209887601663736,0.5043955040665494,Medium,0.5,0.5684943800831868,Medium ESG Risk
86.11,47.64,4,77688,1.0,0.0,0.0,0.0,0.24,0,0.6479716068063877,0.403188642722555,Medium,0.5,0.49598580340319387,Medium ESG Risk
37.74,63.74,3,23819,1.0,0.0,0.0,0.0,0.28,0,0.7975949820845121,0.4870379928338049,Medium,0.5,0.5827974910422561,Medium ESG Risk
71.45,55.5,6,74466,0.0,0.0,0.0,1.0,0.32,1,0.7329653794138274,0.485186151765531,Medium,0.5,0.5624826897069137,Medium ESG Risk
57.92,51.7,8,25556,1.0,0.0,0.0,0.0,0.275,0,0.8067952727899492,0.4877181091159797,Medium,0.5,0.5858976363949746,Medium ESG Risk
17.09,76.28,5,79412,0.0,0.0,0.0,0.0,0.355,1,0.448657813778452,0.3924631255113808,Low,0.2,0.370828906889226,Low ESG Risk
40.5,57.51,16,23624,0.0,0.0,1.0,0.0,0.22,0,0.6661984831950895,0.3984793932780358,Low,0.2,0.43909924159754476,Medium ESG Risk
28.25,73.85,12,41985,0.0,0.0,0.0,0.0,0.105,0,0.4298283604543528,0.2349313441817411,Low,0.2,0.2864141802271764,Low ESG Risk
80.93,70.29,16,41750,0.0,0.0,1.0,0.0,0.46,1,0.8070919120741247,0.59883676482965,Medium,0.5,0.6415459560370623,Medium ESG Risk
63.64,42.53,16,56914,0.0,0.0,0.0,0.0,0.21,0,0.9096293443285068,0.4898517377314028,Medium,0.5,0.6178146721642533,Medium ESG Risk
28.1,46.81,10,28351,1.0,0.0,0.0,0.0,0.265,0,0.5025269717965691,0.3600107887186277,Low,0.2,0.37076348589828456,Low ESG Risk
18.76,56.26,11,41714,0.0,1.0,0.0,0.0,0.115,0,0.4672672917366832,0.2559069166946733,Low,0.2,0.3081336458683416,Low ESG Risk
12.11,73.86,8,71959,0.0,0.0,1.0,0.0,0.175,0,0.6433957007422776,0.362358280296911,Low,0.2,0.41419785037113876,Medium ESG Risk
81.95,36.9,13,52770,0.0,0.0,0.0,1.0,0.38,1,0.94640316324732,0.6065612652989281,Medium,0.5,0.68720158162366,Medium ESG Risk
38.77,80.57,3,66563,0.0,0.0,0.0,1.0,0.095,0,0.55427460387135,0.27870984154854,Low,0.2,0.345637301935675,Low ESG Risk
91.0,39.49,3,27583,1.0,0.0,0.0,0.0,0.125,0,0.6849542476160794,0.3489816990464318,Low,0.2,0.41997712380803964,Medium ESG Risk
92.19,71.27,8,36943,0.0,0.0,0.0,1.0,0.15,0,0.6957042380970544,0.3682816952388218,Low,0.2,0.43285211904852716,Medium ESG Risk
51.02,72.15,7,44555,0.0,0.0,1.0,0.0,0.165,0,0.7183189409479384,0.3863275763791753,Low,0.2,0.44865947047396915,Medium ESG Risk
46.11,61.73,10,63981,0.0,1.0,0.0,0.0,0.065,0,0.7848967980632106,0.3529587192252842,Low,0.2,0.45194839903160533,Medium ESG Risk
15.16,78.63,13,40401,0.0,0.0,0.0,1.0,0.14,0,0.3721791095824724,0.2328716438329889,Low,0.2,0.2680895547912362,Low ESG Risk
85.79,88.04,11,52899,0.0,0.0,0.0,0.0,0.135,0,0.5587639876745008,0.3045055950698003,Low,0.2,0.3598819938372504,Low ESG Risk
27.31,67.28,8,64307,0.0,0.0,0.0,0.0,0.18,0,0.5553666086561306,0.3301466434624522,Low,0.2,0.3716833043280653,Low ESG Risk
83.85,90.89,14,64751,0.0,0.0,1.0,0.0,0.15,0,0.6301474225241744,0.3420589690096698,Low,0.2,0.40007371126208724,Medium ESG Risk
6.64,36.78,15,78138,0.0,1.0,0.0,0.0,0.245,0,1.0,0.547,Medium,0.5,0.6735,Medium ESG Risk
59.73,81.47,4,40173,0.0,0.0,0.0,1.0,0.35,1,0.7134781675349504,0.4953912670139802,Medium,0.5,0.5617390837674752,Medium ESG Risk
51.72,85.45,8,26617,0.0,1.0,0.0,0.0,0.265,0,0.6154796197828144,0.4051918479131258,Medium,0.5,0.48723980989140725,Medium ESG Risk
19.31,61.66,12,52474,0.0,0.0,0.0,0.0,0.135,0,0.7170229711328772,0.3678091884531509,Low,0.2,0.43901148556643854,Medium ESG Risk
74.62,87.63,5,38408,0.0,0.0,0.0,0.0,0.19,0,0.5308402800615468,0.3263361120246187,Low,0.2,0.3624201400307734,Low ESG Risk
54.39,52.66,8,53297,0.0,1.0,0.0,0.0,0.08,0,0.9311578194493616,0.4204631277797446,Medium,0.5,0.5895789097246809,Medium ESG Risk
62.63,61.77,11,32097,0.0,1.0,0.0,0.0,0.29,0,0.4234111003078386,0.3433644401231354,Low,0.2,0.33870555015391934,Low ESG Risk
76.16,52.69,5,57338,0.0,1.0,0.0,0.0,0.21,0,0.3536948568119582,0.2674779427247833,Low,0.2,0.2798474284059791,Low ESG Risk
85.49,36.94,10,46400,0.0,1.0,0.0,0.0,0.295,0,0.8876193711962461,0.5320477484784985,Medium,0.5,0.6323096855981231,Medium ESG Risk
90.54,60.87,15,70027,1.0,0.0,0.0,0.0,0.42,1,0.6905876277992922,0.5282350511197169,Medium,0.5,0.5712938138996461,Medium ESG Risk
53.48,80.14,14,78686,0.0,0.0,0.0,1.0,0.12,0,0.4653524946505123,0.2581409978602049,Low,0.2,0.3086762473252561,Low ESG Risk
81.76,85.41,17,44776,0.0,0.0,0.0,1.0,0.16,0,0.6673807514982765,0.3629523005993106,Low,0.2,0.42169037574913826,Medium ESG Risk
6.04,73.71,6,47885,0.0,0.0,0.0,1.0,0.255,0,0.7450368333965639,0.4510147333586255,Medium,0.5,0.549018416698282,Medium ESG Risk
91.19,74.36,16,43592,0.0,0.0,0.0,0.0,0.425,1,0.5255119888976445,0.4652047955590578,Medium,0.5,0.4902559944488223,Medium ESG Risk
5.11,46.28,13,72925,0.0,0.0,0.0,0.0,0.245,0,0.9937443867246252,0.5444977546898501,Medium,0.5,0.6703721933623126,Medium ESG Risk
17.15,66.79,17,48522,0.0,0.0,0.0,1.0,0.195,0,0.5321454931331844,0.3298581972532737,Low,0.2,0.3645727465665922,Low ESG Risk
46.64,84.59,2,48466,1.0,0.0,0.0,0.0,0.36,1,0.7914483053430444,0.5325793221372178,Medium,0.5,0.6037241526715222,Medium ESG Risk
29.69,77.24,15,24003,1.0,0.0,0.0,0.0,0.215,0,0.9775380123469658,0.5200152049387863,Medium,0.5,0.6532690061734828,Medium ESG Risk
74.98,66.3,14,29358,0.0,1.0,0.0,0.0,0.115,0,0.5768402954574282,0.2997361181829713,Low,0.2,0.36292014772871417,Low ESG Risk
70.5,51.91,13,45568,1.0,0.0,0.0,0.0,0.1,0,0.6332256536793562,0.3132902614717425,Low,0.2,0.3866128268396781,Low ESG Risk
58.1,55.12,10,46762,1.0,0.0,0.0,0.0,0.14,0,0.5069341253323799,0.286773650132952,Low,0.2,0.33546706266619,Low ESG Risk
